OBJECTID,Num_Cases,Address,xcoord,ycoord
"1",1,29 Kingly Street,-0.140033817387156,51.513268272663
"2",3,27 Heddon Street,-0.139874596281148,51.5112264703959
"3",1,31 Heddon Street,-0.139916819716508,51.511274586393
"4",2,18 Fouberts Place,-0.139587436605368,51.5135375740112
"5",1,18 Kingly Street,-0.139681937110528,51.5129940085949
"6",2,18 Fouberts Place,-0.139587436605368,51.5135375740112
"7",1,1 Ramillies Place,-0.139478996678526,51.5150007225594
"8",1,34 Carnaby Street,-0.139344201362725,51.5140972896406
"9",1,24 Ganton Street,-0.139205889018725,51.5129399587792
"10",1,1 Heddon Street,-0.13942101231352,51.5107735436442
"11",1,33 Carnaby Street,-0.139186105759799,51.5134559021744
"12",1,24 Ganton Street,-0.139205889018725,51.5129399587792
"13",1,31 Carnaby Street,-0.13931999323341,51.5136756969346
"14",1,1 Ganton Street,-0.139273610535977,51.5129084822604
"15",2,23 Ganton Street,-0.139256736439463,51.5128466542235
"16",1,29 Carnaby Street,-0.139113287756969,51.5134867568762
"17",1,1 Ganton Street,-0.139085981356615,51.5130013337388
"18",8,1 Kingly Court,-0.139161576606196,51.5128954917842
"19",1,41 Carnaby Street,-0.138967695977617,51.5132416407339
"20",2,4 Marlbrough Court,-0.139020901208985,51.5133581860618
"21",2,13 Ganton Street,-0.139028954355658,51.5129595478414
"22",1,1 Ganton Street,-0.138887122325685,51.5130292800627
"23",1,2 Marlbrough Court,-0.138971851264461,51.5133126481779
"24",1,1 Lowndes Court,-0.138975241786429,51.5135720418032
"25",3,10 Newburgh Street,-0.138812054848137,51.5137493480679
"26",1,13 Newburgh Street,-0.13878872664123,51.5136143787377
"27",1,10 Newburgh Street,-0.138812054848137,51.5137493480679
"28",1,7 Newburgh Street,-0.138669172385002,51.51360253628
"29",1,1 Ganton Street,-0.138564957224572,51.5131716527499
"30",1,10 Ganton Street,-0.138449817792468,51.513296729093
"31",1,48 Carnaby Street,-0.138394086609071,51.5126980984261
"32",1,2 Newburgh Street,-0.138563304325975,51.5135044763187
"33",1,1 Kingly Court,-0.138601611794949,51.5123826282156
"34",3,1 Ganton Street,-0.138564957224572,51.5131716527499
"35",1,10 Carnaby Street,-0.138320471190267,51.5127282100276
"36",1,1 Ganton Street,-0.138564957224572,51.5131716527499
"37",1,1 Ganton Street,-0.138171277680753,51.5133291112439
"38",2,6 Ganton Street,-0.138281655631744,51.5133546145805
"39",4,1 Ganton Street,-0.138564957224572,51.5131716527499
"40",1,35 Marshall Street,-0.138205453703018,51.5136654413064
"41",1,18 Marshall Street,-0.138235321986692,51.5138307478874
"42",3,1 Ganton Street,-0.138171277680753,51.5133291112439
"43",2,35 Marshall Street,-0.138205453703018,51.5136654413064
"44",2,70 Broadwick Street,-0.137965766873658,51.5129270295438
"45",1,4 Ganton Street,-0.138143790314053,51.5134003616064
"46",1,70 Broadwick Street,-0.137965766873658,51.5129270295438
"47",1,50 Carnaby Street,-0.138151525663452,51.5124679924363
"48",2,1 Ganton Street,-0.138171277680753,51.5133291112439
"49",2,16 Marshall Street,-0.138089621516068,51.513641989434
"50",1,37 Marshall Street,-0.138023327769059,51.5134294911181
"51",1,1 Upper John Street,-0.138022173573009,51.5119056500322
"52",1,51 Carnaby Street,-0.138083019387297,51.5124022493663
"53",1,1 Carnaby Street,-0.138009080637933,51.51243205067
"54",2,1 Marshall Street,-0.137950143351119,51.513331996552
"55",1,1 Carnaby Street,-0.138009080637933,51.51243205067
"56",4,14 Marshall Street,-0.13794392084422,51.5134532298796
"57",3,5 Great Marlborough Street,-0.137810465699251,51.514713302829
"58",4,1 Carnaby Street,-0.138009080637933,51.51243205067
"59",1,40 Poland Street,-0.1376948393542,51.5155993891364
"60",1,1 Marshall Street,-0.137809483349659,51.5131437925106
"61",3,10 Marshall Street,-0.137928349998022,51.5134328878813
"62",2,11 Marshall Street,-0.137812164710204,51.5132773189127
"63",4,1 Marshall Street,-0.137809483349659,51.5131437925106
"64",1,11 Marshall Street,-0.137812164710204,51.5132773189127
"65",2,68 Broadwick Street,-0.137743109918675,51.5130572742863
